Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”,Name: “Table 1 of 1 on page 103 of 124”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Neighborhood Support,CATEGORY: Neighborhood Support,,,,,,,
,,"As outlined in the Mary Peake Regional Storm Water Study,",,,,,,
Berkshire Terrace Drainage,,improvements to the storms sewer system serving the,,,,,,
,Public Works,,0,0,"45,000","500,000",0,"545,000"
Improvements,,Berkshire Terrace area are needed which include the,,,,,,
,,placement of larger pipes for increased capacity.,,,,,,
,,Install drainage pipes and curbs and gutters on the circle end,,,,,,
Cavalier Road Drainage,Public Works -,of Cavalier Road to improve drainage for residents and also,,,,,,
,,,"850,000",0,0,0,0,"850,000"
Improvements,Engineering,to improve the life of the asphalt pavement which is failing,,,,,,
,,sooner than expected due to poor drainage.,,,,,,
,,Install drainage pipes along an existing ditch line between,,,,,,
,Public Works -,,,,,,,
Edgewood Drainage,,Edgewood Drive and Mercury Boulevard to improve,"300,000",0,0,0,0,"300,000"
,Engineering,,,,,,,
,,neighborhood drainage conditions.,,,,,,
Flood Assistance Program,Public Works,Annual funding of the Flood Assistance Program.,"600,000","600,000","600,000","600,000","600,000","3,000,000"
,,"Install a drainage system, curbs and gutters and sidewalks to",,,,,,
Improvements to the 600,Public Works/Street,the 600 block of Greenbriar Ave. This project addresses,,,,,,
,,,0,0,0,"750,000",0,"750,000"
Block of Greenbriar Ave,Division,citizens' safety concerns of traffic and pedestrians sharing the,,,,,,
,,same space on this narrow street.,,,,,,
,,"Install drainage pipes, curbs and gutters on Bright Street from",,,,,,
,Public Works -,Milford Ave to Ridgeway Ave. Improvements would also be,,,,,,
Little England Phase 3,,,"1,050,000",0,0,0,0,"1,050,000"
,Engineering,"extended to sections of Homestead Ave, Fairland Ave and",,,,,,
,,Ridgeway Ave.,,,,,,
,,Install drainage pipes and curb and gutter on Monterrey Ave,,,,,,
,Public Works -,,,,,,,
Little England Phase 4,,"and sections of Milford Ave, Homestead Ave, Fairland Ave","450,000",0,0,0,0,"450,000"
,Engineering,,,,,,,
,,and Ridgeway Ave near Shell Road.,,,,,,
,,The last section of this neighborhood improvement project,,,,,,
,Public Works -,"would reconstruct the asphalt pavement of Judy Court, Fran",,,,,,
Little England Phase 5,,,"625,000",0,0,0,0,"625,000"
,Engineering,"Circle, Susan Court and sections of Homestead Avenue,",,,,,,
,,Newport News Avenue and Milford Avenue.,,,,,,
Neighborhood Curb & Gutter,Public Works/Street,Installation of curbs and gutters in residential neighborhoods.,,,,,,
,,,"1,000,000",0,0,0,0,"1,000,000"
Program,Division,This is a Council requested project.,,,,,,
Pasture Point Noise Wall,,Construct noise wall along I-64 from King Street to River,,,,,,
,Neighborhood Office,,"2,400,000",0,0,0,0,"2,400,000"
along Interstate 64,,Street.,,,,,,
