Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”,Name: “Table 1 of 1 on page 8 of 14”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,
Fiscal Years 2014-2018,Fiscal Years 2014-2018,Fiscal Years 2014-2018,,,,
Capital Improvement Plan ~ by Expenditure Category,Capital Improvement Plan ~ by Expenditure Category,Capital Improvement Plan ~ by Expenditure Category,Capital Improvement Plan ~ by Expenditure Category,Capital Improvement Plan ~ by Expenditure Category,,
,,Planned Year,Planned Year,Planned Year,Planned Year,
Projects by Expenditure Categories,FY14,FY15,FY16,FY17,FY18,TOTAL
9. Streets and Infrastructure,,,,,,
Buckroe Avenue Reconstruction - Phase I,"500,000",0,0,0,0,"500,000"
City-wide Traffic Signal Upgrades - Phase 3,"1,200,000",0,0,0,0,"1,200,000"
City-wide Traffic Signal Upgrades - Phase 4,0,"553,000",0,0,0,"553,000"
Cunningham Drive Sidewalks,0,0,0,0,"920,000","920,000"
Franklin Street Extension,"90,000","435,000",0,0,0,"525,000"
Freeman Drive Alignment,"125,000","300,000","750,000",0,0,"1,175,000"
Kecoughtan Road/Sunset Creek Railing,0,"350,000",0,0,0,"350,000"
Mercury Boulevard Sidewalks {Coliseum Drive to Armistead Avenue},"125,000","100,000","950,000",0,0,"1,175,000"
Newmarket Creek Trail,0,"400,000","1,400,000",0,0,"1,800,000"
North Campus Parkway Final Surface Overlay,"280,000",0,0,0,0,"280,000"
North King Street Streetscape {Lincoln Street to I-64},0,0,"45,000","450,000",0,"495,000"
North King Street Streetscape - Phase 3,"300,000","600,000","2,100,000",0,0,"3,000,000"
Old Buckroe Avenue {Mercury Boulevard to Woodland Road},"110,000","70,000","520,000",0,0,"700,000"
Pembroke Avenue Reconstruction - Phase 3,"150,000","300,000","1,050,000",0,0,"1,500,000"
Street Resurfacing,"5,691,182","5,805,006","5,921,106","6,039,528","6,160,318","29,617,140"
Traffic Signal System Retiming,0,0,"698,000",0,0,"698,000"
Transportation Initiatives,"1,500,000",0,0,0,0,"1,500,000"
VDOT Supplemental Project Funds,"100,000","100,000","100,000","100,000","100,000","500,000"
Total:,"10,171,182","9,013,006","13,534,106","6,589,528","7,180,318","46,488,140"
GRAND TOTAL ~ Projects by Expenditure Category,"$42,586,253","$40,213,917","$53,088,871","$40,301,793","$44,535,083","$220,725,917"
Page 8,Page 8,,,,,
