Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”,Name: “Table 1 of 1 on page 21 of 151”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,
,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,
,SALARY AND BENEFIT SUMMARY,SALARY AND BENEFIT SUMMARY,SALARY AND BENEFIT SUMMARY,SALARY AND BENEFIT SUMMARY,,,
,,,FY 2008,FY 2008,,,
SALARIES/WAGES:,FY 2007,FY 2007,ADOPTED,ADOPTED,,,
,BUDGET,BUDGET,BUDGET,BUDGET,$ CHANGE,$ CHANGE,% CHANGE
Salaries & Wages:,,,,,,,
Full Time,,"7,159,967",$,"7,551,074",$,"391,107",5.5%
Part Time,,"1,076,018",,"1,026,987",,"(49,031)",-4.6%
Overtime,,"72,251",,"74,000",,"1,749",2.4%
Other Compensation,,"198,861",,"183,408",,"(15,453)",-7.8%
New Staff - Full Time,,-,,"430,130",,"430,130",N/A
Total Salaries & Wages,$,"8,507,097",$,"9,265,599",$,"758,502",8.9%
,,,FY 2008,FY 2008,,,
EMPLOYEE BENEFITS:,FY 2007,FY 2007,ADOPTED,ADOPTED,,,
,BUDGET,BUDGET,BUDGET,BUDGET,$ CHANGE,$ CHANGE,% CHANGE
FICA / Medicare,,,,,,,
Current Staff,$,"643,671",$,"663,266",$,"19,595",3.0%
New Staff,,,,"32,905",,"32,905",N/A
,,"643,671",,"696,171",,"52,500",8.2%
Virginia Retirement System (VRS),budgeted rates remained unchanged at 10.32% of annual salary.,budgeted rates remained unchanged at 10.32% of annual salary.,budgeted rates remained unchanged at 10.32% of annual salary.,budgeted rates remained unchanged at 10.32% of annual salary.,budgeted rates remained unchanged at 10.32% of annual salary.,budgeted rates remained unchanged at 10.32% of annual salary.,
"Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program.","Beginning in FY 2007, the County contributes an additional .51% towards VRS Optional Health Credit Program."
Current Staff,$,"787,280",$,"808,299",$,"21,019",2.7%
New Staff,,,,"38,785",,"38,785",N/A
,,"787,280",,"847,084",,"59,804",7.6%
Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,Hospitalization / Medical Insurance Premiums remained unchanged from FY 2007,,
"Employer cost for family coverage = $7,223/year","Employer cost for family coverage = $7,223/year","Employer cost for family coverage = $7,223/year",,,,,
Current Staff,$,"809,199",$,"796,986",$,"(12,213)",-1.5%
New Staff,,,,"79,453",,"79,453",N/A
,,"809,199",,"876,439",,"67,240",8.3%
Dental insurance premiums remained unchanged from FY 2007,Dental insurance premiums remained unchanged from FY 2007,Dental insurance premiums remained unchanged from FY 2007,Dental insurance premiums remained unchanged from FY 2007,,,,
Employer cost for family coverage = $607/year,Employer cost for family coverage = $607/year,,,,,,
Current Staff,$,"55,855",$,"53,806",$,"(2,049)",-3.7%
New Staff,,,,"6,677",,"6,677",N/A
,,"55,855",,"60,483",,"4,628",8.3%
Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,Group Life insurance budgeted premiums remained unchanged at 1.13% of annual salary.,
Current Staff,$,"88,480",$,"83,408",$,"(5,072)",-5.7%
New Staff,,,,"4,047",,"4,047",N/A
,,"88,480",,"87,455",,"(1,025)",-1.2%
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,
