Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”,Name: “Table 1 of 1 on page 79 of 157”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,
,,,,,,ISLE OF WIGHT COUNTY
,,,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,
,,,,,,ENGINEERING DIVISION
NOTE A:,"Includes $75,000 for Phase II of County Drainage Plan and $15,000 for various other services.","Includes $75,000 for Phase II of County Drainage Plan and $15,000 for various other services.","Includes $75,000 for Phase II of County Drainage Plan and $15,000 for various other services.","Includes $75,000 for Phase II of County Drainage Plan and $15,000 for various other services.","Includes $75,000 for Phase II of County Drainage Plan and $15,000 for various other services.",
NOTE B:,"Includes $19,025 for HRPDC Stormwater Programs.","Includes $19,025 for HRPDC Stormwater Programs.","Includes $19,025 for HRPDC Stormwater Programs.","Includes $19,025 for HRPDC Stormwater Programs.","Includes $19,025 for HRPDC Stormwater Programs.",
NOTE C:,,Requested,Requested,,Adopted,
,Underground Locator,$,"3,000",$,"3,000",
,Chlorine Test Kit,,186,,106,
,Color Printer/Scanner/Copier,,400,,-,
,Highway Capacity 2000,,"2,000",,-,Use FY08 funds
,Synchro 7,,"1,500",,-,Use FY08 funds
,CADD-AutoCADD Lite,,"5,000",,-,Use FY08 funds
,Quick Books,,"1,000",,-,
,Hydraulics Software,,"2,000",,-,Use FY08 funds
,Miscellaneous,,-,,394,
,,$,"15,086",$,"3,500",
,,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",
,,,,,,Page 73
