Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”,Name: “Table 1 of 1 on page 161 of 166”
Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161
,,,,,,,
,,Ratio of Net General Bonded Debt To,Ratio of Net General Bonded Debt To,Ratio of Net General Bonded Debt To,Ratio of Net General Bonded Debt To,,
,,Assessed Value and Net Bonded Debt Per Capita,Assessed Value and Net Bonded Debt Per Capita,Assessed Value and Net Bonded Debt Per Capita,Assessed Value and Net Bonded Debt Per Capita,,
,,,,,,Ratio of,
,,,,,,Net Bonded,
,,,Gross,Debt Service,Net,Debt to,Net Bonded
Fiscal,,Assessed,Bonded,Monies,Bonded,Assessed,Debt Per
Year,Population,Valuation,Debt,Available,Debt,Valuation,Capita
2001,"49,256","5,320,435,931","88,685,429","9,791,477","78,893,952",.0148,"1,602"
2002,"50,858","5,745,453,131","83,781,382","9,573,068","74,208,314",.0129,"1,459"
2003,"52,303","6,225,817,244","80,537,541","9,686,080","70,851,461",.0114,"1,355"
2004,"53,952","6,802,790,128","75,247,759","9,300,903","65,946,856",.0097,"1,222"
2005,"56,463","7,575,410,210","109,465,708","10,686,133","98,779,575",.0130,"1,749"
2006,"58,893","9,049,255,396","106,091,269","13,178,021","92,913,248",.0103,"1,578"
2007,"60,867","10,704,264,557","239,370,560","24,346,226","215,024,334",.0201,"3,533"
2008,"61,195","11,610,152,643","225,569,735","25,499,192","200,070,543",.0172,"3,269"
2009 ((EEs tt)),"6633,337788","1122,007799 ,661155 ,222233","221122,116611 ,556655","2244,994477 ,771188","118877,221133 ,884477",.00115555,"22,995544"
2010 (Est),"64,873","12,016,702,300","218,415,703","26,050,361","192,365,342",.0160,"2,965"
Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,Counties in the Commonwealth of Virginia are not subject to a legal debt limitation based on a percentage of total,
assessed value of real estate.,assessed value of real estate.,,,,,,
,,,Page G-20,Page G-20,,,
