Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”
Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Fire/Emergency Medical,F/T,89,92,95,101,104,108,111,111,111,110
Services,P/T,0,0,0,0,0,0,0,0,0,0
Fleet and Equipment,F/T,6,6,6,8,8,8,8,7,8,8
,P/T,0,0,0,0,0,0,0,0,0,0
General and Capital Services,F/T,,,2.5,4.5,6.5,6.5,6.5,6.5,5.5,7
,P/T,,,0,0,0,0,0,0,0,0
Grounds Maintenance,F/T,11,11,15,13,16,21,21,20,22,22
,P/T,0,1,1,1,1,1,1,1,1,1
Human Resources,F/T,7,7,7,8,8,8,8,7,7,7
,P/T,2,2,2,1,1,1,1,2,0,0
Information Resources,F/T,19,19,19,20,20,21,21,21,20,21
Management,P/T,1,1,1,1,1,1,1,0,0,0
Mosquito Control,F/T,1,1,1,1,1,1,1,0,0,0
,P/T,0,0,0,0,0,0,0,0,0,0
Neighborhood Connections,F/T,3.5,3,3,3,4,4,4,2,0,0
,P/T,0,1,1,1,1,1,1,1,0,0
Parks and Recreation,F/T,42,43,43,45,52,56,54,53,48,49
,P/T,35,35,36,37,29,29,29,23,16,14
Planning,F/T,14.5,15.5,16.5,17.5,17.5,19.5,19.5,17.5,12.5,10.5
,P/T,1,1,1,2,2,0,0,1,1,1
Police,F/T,72,73,74,78,87,94,97,98,98,98
,P/T,0,0,0,0,0,0,0,0,0,0
Purchasing,F/T,3,3,3,3,3,3,3,3,3,4
,P/T,0,0,0,0,0,0,0,0,0,0
Real Estate Assessments,F/T,11,11,11,11,12,13,13,11,10,9
,P/T,0,0,0,0,0,0,0,0,0,0
Satellite Services Office,F/T,2,2,2,2,2,3,3,3,3,3
,P/T,2,2,2,2,2,2,2,1,1,1
Sheriff,F/T,18,18,18,18,18,18,18,18,16,16
,P/T,0,0,0,0,0,0,0,0,0,0
Solid Waste Management,F/T,6,6,6,6,7,7,7,7,6,6
,P/T,2,2,3,3,2,2,2,2,1,1
Stormwater,F/T,0,0,0,0,0,9,8.5,6.5,6.5,4
,P/T,0,0,0,0,0,0,0,0,0,1
Treasurer,F/T,13,13,13,13,13,13,13,13,12,11
,P/T,0,0,0,0,0,0,0,0,0,1
Zoning Enforcement,F/T,0,0,0,0,0,0,0,0,3,4
,P/T,0,0,0,0,0,0,0,0,0,0
Total General Fund,F/T,474.0,480.0,492.5,512.5,548.5,586.5,584.0,563.0,541.0,541.0
,P/T,65,68,70,70,53,49,49,43,30,30
_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________
,,,,,Page G - 2,,,,,,
