Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”,Name: “Table 1 of 1 on page 135 of 165”
Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135
,,,,,,,,,
,,,,,,,,,
,,,Special Projects/Grants Fund,Special Projects/Grants Fund,Special Projects/Grants Fund,,,,
PURPOSE,PURPOSE,,,,,,,,
"The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,","The County Special Projects/Grants Fund was created to account for projects and specific revenue sources,"
including,grants,and,any other funds that may require continuing appropriation,any other funds that may require continuing appropriation,any other funds that may require continuing appropriation,any other funds that may require continuing appropriation,or special accounting,or special accounting,or special accounting
treatment.,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies,Additional funds and program appropriations may occur during the year as the County qualifies
for other grant funds.,for other grant funds.,for other grant funds.,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,,FY 12,,FY 13,,,FY 14
,,,,Adopted,,Adopted,,,Plan
Revenues:,Revenues:,,,,,,,,
General Fund Non Departmental,General Fund Non Departmental,General Fund Non Departmental,$,"500,000",$,,-,$,-
Road Match - Developer Contribution,Road Match - Developer Contribution,Road Match - Developer Contribution,,"500,000",,,-,,-
Road Match - James City Service Authority,Road Match - James City Service Authority,Road Match - James City Service Authority,,"100,000",,,-,,-
Local Emergency Management Planning Grant,Local Emergency Management Planning Grant,Local Emergency Management Planning Grant,,-,,"34,692","34,692",,"34,692"
Comprehensive Services Act (CSA),Comprehensive Services Act (CSA),Comprehensive Services Act (CSA),,"319,300",,"319,300","319,300",,"319,300"
CSA Local Match-General Fund,CSA Local Match-General Fund,CSA Local Match-General Fund,,"367,426",,"367,426","367,426",,"367,426"
CSA School Share,CSA School Share,CSA School Share,,"112,000",,"112,000","112,000",,"112,000"
Total,,,$,"1,898,726",$,"833,418","833,418",$,"833,418"
Expenditures:,Expenditures:,,,,,,,,
Comprehensive Services Act,Comprehensive Services Act,Comprehensive Services Act,$,"798,726",$,"798,726","798,726",$,"798,726"
Local Emergency Management Planning Grant,Local Emergency Management Planning Grant,Local Emergency Management Planning Grant,,-,,"34,692","34,692",,"34,692"
VDOT Revenue Sharing Road Match,VDOT Revenue Sharing Road Match,VDOT Revenue Sharing Road Match,,,,,,,
Centerville/Richmond Road Intersection,Centerville/Richmond Road Intersection,Centerville/Richmond Road Intersection,,"500,000",,,-,,-
Tewning Road,Tewning Road,Tewning Road,,"100,000",,,-,,-
York River Watershed Management Plan,York River Watershed Management Plan,York River Watershed Management Plan,,"200,000",,,-,,-
Mill Creek Stream Restoration,Mill Creek Stream Restoration,Mill Creek Stream Restoration,,"150,000",,,-,,-
Drainage Improvements - James Terrace,Drainage Improvements - James Terrace,Drainage Improvements - James Terrace,,"100,000",,,-,,-
Grants - Flood Mitigation,Grants - Flood Mitigation,Grants - Flood Mitigation,,"50,000",,,-,,-
Total Expenditures,Total Expenditures,Total Expenditures,$,"1,898,726",$,"833,418","833,418",$,"833,418"
PERSONNEL,PERSONNEL,,,,,,,,
,Full-time Personnel,Full-time Personnel,,3,,3,,,3
,Part-time Personnel,Part-time Personnel,,1,,2,,,2
,,,Page F-7,,,,,,
