Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”,Name: “Table 1 of 1 on page 138 of 171”
Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138
,,,,,,,
,,,,,,,
,,Colonial Community Corrections,Colonial Community Corrections,Colonial Community Corrections,,,
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,
1.,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the,Develop and implement a long-term criminal justice plan that assists in safeguarding the
,community,,,,,,
2.,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial,Provide alternatives to incarceration to local responsible offenders and defendants awaiting trial
3.,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on,Provide pre-trial services to ensure accurate information is received by the court systems on
,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision,individuals awaiting trial so informed decisions can be made about pre-trial release and supervision
4.,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and,Provide post-trial services to offenders; re-entry programs for those being released from jail; and
,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,substance abuse counseling to offenders identified with substance abuse disorders,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,
,,,FY 13,,FY 14,,FY 14
,,,Adopted,,Plan,,Adopted
Revenues:,Revenues:,,,,,,
Federal/State,Federal/State,$,"738,214",$,"735,514",$,"754,411"
General Fund,General Fund,,"34,470",,"36,913",,"42,898"
Supervision Fees,Supervision Fees,,"57,474",,"57,474",,"59,839"
Williamsburg Community Health Foundation,Williamsburg Community Health Foundation,,"40,665",,"40,665",,"38,300"
National Institute of Corrections Grant,National Institute of Corrections Grant,,"90,000",,-,,"93,929"
Other Locality Contributions,Other Locality Contributions,,"80,244",,"84,586",,"76,262"
Total Revenues,Total Revenues,$,"1,041,067",$,"955,152",$,"1,065,639"
Expenditures:,Expenditures:,,,,,,
General,General,,,,,,
Personnel,Personnel,$,"823,174",$,"739,959",$,"886,485"
Operating,Operating,,"162,277",,"159,577",,"119,999"
Direct Client Services,Direct Client Services,,"55,616",,"55,616",,"59,155"
Total Expenditures,Total Expenditures,$,"1,041,067",$,"955,152",$,"1,065,639"
PERSONNEL,PERSONNEL,,,,,,
,Full-time Personnel,,12,,11,,12
,Part-time Personnel,,3,,3,,3
PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,FY 11,FY 12,FY 12,FY 13,,FY 14
,,Actual,Actual,Actual,Adopted,,Adopted
,# Probation placements,"1,222","1,252","1,252","1,300",,"1,300"
,,Page F-5,,,,,
