Name: “Table 1 of 1 on page 6 of 8”,Name: “Table 1 of 1 on page 6 of 8”,Name: “Table 1 of 1 on page 6 of 8”,Name: “Table 1 of 1 on page 6 of 8”
Table: 6,Table: 6,Table: 6,Table: 6
,,,
City of Norfolk Government,City of Norfolk Government,City of Norfolk Government,
Mayor,Vice-Mayor,Council Member,Council Member
Paul D. Fraim,Anthony L. Burfoot,Andrew A. Protogyrou,Dr. Theresa W. Whibley
,Ward 3,Ward 1,Ward 2
Council Member,Council Member,Council Member,Council Member
Paul R. Riddick,Thomas R. Smigiel,Barclay C. Winn,Angelia M. Williams
Ward 4,Ward 5,Ward 6,Ward 7
,,City Manager,
,,Marcus D. Jones,
