Name: “Table 1 of 1 on page 23 of 212”,Name: “Table 1 of 1 on page 23 of 212”,Name: “Table 1 of 1 on page 23 of 212”,Name: “Table 1 of 1 on page 23 of 212”,Name: “Table 1 of 1 on page 23 of 212”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,
Programs & Services,,,,
,FY 2010,FY 2011,FY 2012,
,Actual,Approved,Approved,Positions
Communications And Public Information,,,,
Communication & Public Information,"519,073","638,184","406,519",3
Respond to media calls and promote Norfolk,,,,
stories to the media. Prepare executive,,,,
strategic communications and media relations',,,,
"plans, programs, and policies. Responsible for",,,,
community outreach of Norfolk's initiatives and,,,,
events.,,,,
Publications,"373,709","407,737","400,285",3
"Produce internal and external publications,",,,,
periodic updates of the Citizen Guide to,,,,
"Services and NorfolkInfo. Provide writing,",,,,
"editing, and publishing services for the Norfolk",,,,
"website, brochures, flyers, and advertisements.",,,,
Public Relations,"256,488","221,437","146,481",2
Promote public awareness of City policies and,,,,
activities through media placements and,,,,
private and public partnerships.,,,,
Broadcast Services & Programming,"518,093","423,242","449,854",3
"Promote awareness and support of City policies,",,,,
initiatives and activities among residents and,,,,
"public employees through production, editing",,,,
and management of cablecast (TV48).,,,,
Intergovernmental Relations,0,0,"354,661",1
Intergovernmental Relations bases its annual,,,,
activities on the legislative programs developed,,,,
by the City Council and Manager for state and,,,,
federal issues. The division uses its resources to,,,,
help advance federal and state actions on City,,,,
requests.,,,,
Total,"1,667,363","1,690,600","1,757,800",12
,,Communications and Public Information,Communications and Public Information,93
