Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,
S CHOOL G RANTS,S CHOOL G RANTS,,,,
Grants and Special Programs Revenue Summary,Grants and Special Programs Revenue Summary,Grants and Special Programs Revenue Summary,Grants and Special Programs Revenue Summary,,
,,FY 2009,FY 2010,FY 2011,FY 2012
,,Actual,Actual,Approved,Approved
Federal Grants,Federal Grants,"29,183,795","26,594,680","29,388,807","41,074,767"
Commonwealth of Virginia Grants,Commonwealth of Virginia Grants,"4,174,024","4,310,745","5,513,968","5,090,510"
Corporate and Foundation Awards,Corporate and Foundation Awards,"311,349","130,853","40,000","180,355"
Other Grants,Other Grants,"214,847","671,779","856,619","339,000"
Federal Stimulus Grants,Federal Stimulus Grants,0,"7,477,568","10,520,260",0
Total Grant Revenues,Total Grant Revenues,"33,884,015","39,185,625","46,319,654","46,684,632"
Grants and Special Programs Expenditure Summary,Grants and Special Programs Expenditure Summary,Grants and Special Programs Expenditure Summary,Grants and Special Programs Expenditure Summary,,
FEDERAL GRANTS,FEDERAL GRANTS,,,,
,,FY 2009,FY 2010,FY 2011,FY 2012
,,Actual,Actual,Approved,Approved
Compensatory Programs,Compensatory Programs,"17,623,956","15,380,635","19,804,276","30,489,411"
Special Education,Special Education,"7,763,749","7,272,366","7,685,759","7,685,759"
"Career, Technical and Adult","Career, Technical and Adult",,,,
,,"1,272,234","1,238,367","1,280,247","1,326,044"
Education,Education,,,,
Other Projects,Other Projects,"2,523,857","3,051,778","618,525","1,573,553"
Total Federal Grants,Total Federal Grants,"29,183,795","26,943,146","29,388,807","41,074,767"
COMMONWEALTH OF VIRGINIA GRANTS,COMMONWEALTH OF VIRGINIA GRANTS,,,,
,,FY 2009,FY 2010,FY 2011,FY 2012
,,Actual,Actual,Approved,Approved
"Career, Technical and Adult","Career, Technical and Adult",,,,
,,"153,271","97,648","52,263","115,889"
Education,Education,,,,
State Operated Facilities,State Operated Facilities,"3,561,517","2,555,014","3,511,974","3,121,648"
Special Education,Special Education,"197,810","189,164","204,862","204,862"
Virginia Technology Initiative (1),Virginia Technology Initiative (1),"70,035","1,372,722","1,532,000","1,454,000"
Other Grants,Other Grants,"191,390","96,197","212,869","194,111"
284,School Grants,,,,
