Name: “Table 1 of 1 on page 9 of 26”,Name: “Table 1 of 1 on page 9 of 26”,Name: “Table 1 of 1 on page 9 of 26”,Name: “Table 1 of 1 on page 9 of 26”,Name: “Table 1 of 1 on page 9 of 26”,Name: “Table 1 of 1 on page 9 of 26”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,
•,Support two percent salary increase,FY 2013:,"$68,443",Positions:,0
,"Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.","Provides support for a two percent general wage increase for employees effective July 1, 2012.",
•,Adjust operational expenses,FY 2013:,"$106,248",Positions:,0
,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,Routine technical adjustment for operational expenses which occurs annually. These expenses may include,
,"vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.","vehicle maintenance, fuel, indirect costs (if applicable), and materials and supplies for essential operations.",
•,Transfer funds to Capital Improvement from rate,FY 2013:,"$1,315,200",Positions:,0
,increase,,,,
,Transfer funds generated from the one dollar fee increase to the Capital Improvement Program (CIP). The,Transfer funds generated from the one dollar fee increase to the Capital Improvement Program (CIP). The,Transfer funds generated from the one dollar fee increase to the Capital Improvement Program (CIP). The,Transfer funds generated from the one dollar fee increase to the Capital Improvement Program (CIP). The,
,revenue generated from the fee increase will be used to fund a stand alone CIP project to address citywide,revenue generated from the fee increase will be used to fund a stand alone CIP project to address citywide,revenue generated from the fee increase will be used to fund a stand alone CIP project to address citywide,revenue generated from the fee increase will be used to fund a stand alone CIP project to address citywide,
,"flooding. Due to accounting regulations, these funds must be brought into the operating fund and then","flooding. Due to accounting regulations, these funds must be brought into the operating fund and then","flooding. Due to accounting regulations, these funds must be brought into the operating fund and then","flooding. Due to accounting regulations, these funds must be brought into the operating fund and then",
,transferred to the Capital Improvement Program for proper expenditure.,transferred to the Capital Improvement Program for proper expenditure.,,,
•,Transfer funds to Capital Improvement Program,FY 2013:,"$1,000,000",Positions:,0
,Transfer funds to the Capital Improvement Program (CIP) to support the Halifax Lane Drainage Improvement,Transfer funds to the Capital Improvement Program (CIP) to support the Halifax Lane Drainage Improvement,Transfer funds to the Capital Improvement Program (CIP) to support the Halifax Lane Drainage Improvement,Transfer funds to the Capital Improvement Program (CIP) to support the Halifax Lane Drainage Improvement,
