Name: “Table 1 of 1 on page 129 of 239”,Name: “Table 1 of 1 on page 129 of 239”,Name: “Table 1 of 1 on page 129 of 239”,Name: “Table 1 of 1 on page 129 of 239”,Name: “Table 1 of 1 on page 129 of 239”
Table: 118,Table: 118,Table: 118,Table: 118,Table: 118
,,,,
,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,
Major Departmental Functions,,,,
* Process a variety of land use applications.,,,,
* Assist public in City land use policies and standards.,* Assist public in City land use policies and standards.,,,
* Prepare and modify the City's Comprehensive Plan.,* Prepare and modify the City's Comprehensive Plan.,,,
* Serve as staff liaison to various Boards/Commissions and Committees.,* Serve as staff liaison to various Boards/Commissions and Committees.,* Serve as staff liaison to various Boards/Commissions and Committees.,,
"* Prepare applications for public hearings, inspecting sites, monitoring construction, assisting public in","* Prepare applications for public hearings, inspecting sites, monitoring construction, assisting public in","* Prepare applications for public hearings, inspecting sites, monitoring construction, assisting public in","* Prepare applications for public hearings, inspecting sites, monitoring construction, assisting public in","* Prepare applications for public hearings, inspecting sites, monitoring construction, assisting public in"
preparation and delivery of formal applications.,,,,
* Presentations to City Council/Boards/Commissions.,* Presentations to City Council/Boards/Commissions.,,,
Performance Measures,FY 2008,FY 2009,FY 2010,FY 2011
,Actual,Actual,Estimated,Estimated
Architectural Review Applications,15,15,15,15
Board of Zoning Appeals - Ches Bay Exceptions,55,55,55,55
Board of Zoning Applications,39,39,39,39
Ordinance Amendments,14,14,14,14
Wetland Board Applications,46,46,46,46
Significant Budget Items,,,,
* Increase in operating expenses attributable to increased training for board members.,* Increase in operating expenses attributable to increased training for board members.,* Increase in operating expenses attributable to increased training for board members.,* Increase in operating expenses attributable to increased training for board members.,
Program Accomplishments,,,,
* Processed applications in a timely manner.,,,,
,85,,,
