Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”,Name: “Table 1 of 1 on page 158 of 239”
Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147,Table: 147
,,,,,,,,,,,,,
,,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,CAPITAL PROJECTS FUND - REVENUE,,,
Revenue Summary,,,,,,,,,,,,,
,,,,,,,,,,,,$,%
,,,,,,FY 2010,,FY 2010,,FY 2011,,Change,Change
,,FY 2008,,FY 2009,,Revised,,Estimated,,Adopted,From 2010,From 2010,From 2010
Account Title,,Actual,,Actual,,Revenue,,Revenue,,Revenue,,Budget,Budget
State Highway Funds,$,"392,000",$,"392,000",$,"242,000",$,"242,000",$,"392,000",$,"150,000",62.0%
VPA Pier Grant,,"80,703",,-,,-,,-,,-,,n/a,n/a
VDOT Grant--S Lawson Park,,,,,,"210,000",,"210,000",,,,"(210,000)",-100.0%
Note or Bond Proceeds,,"519,604",,"24,858",,-,,-,,-,,n/a,n/a
Interest -- Bond Proceeds,,"550,464",,"2,044,821",,-,,-,,-,,n/a,n/a
FHWA VA Recreational Trails,,"25,935",,-,,-,,-,,-,,n/a,n/a
Miscellaneous,,200,,50,,-,,-,,-,,n/a,n/a
Reappropriation of Fund Bal,,-,,"350,000",,"774,608",,"774,608",,-,,"(774,608)",-100.0%
Transfer from General Fund,,"765,000",,-,,"43,736",,"43,736",,-,,"(43,736)",-100.0%
TOTAL REVENUE,$,"2,333,906",$,"2,811,729",$,"1,270,344",$,"1,270,344",$,"392,000",$,"(878,344)",-69.1%
Revenue Explanations,,,,,,,,,,,,,
State Highway Funds:,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,Each year the City allocates a portion of the funding it receives from the Virginia,
