Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”,Name: “Table 1 of 1 on page 160 of 231”
Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153
,,,,,,,,,,
,,SPECIAL REVENUE FUND,SPECIAL REVENUE FUND,SPECIAL REVENUE FUND,SPECIAL REVENUE FUND,- EXPENDITURES,- EXPENDITURES,- EXPENDITURES,,
Expenditures Summary,Expenditures Summary,,,,,,,,,
,,,,,,,,,$,%
,,,,,,FY 2011,FY 2012,FY 2012,Change,Change
,,FY 2009,,FY 2010,,Revised,Adopted,Adopted,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,n/a,n/a
Operating Expenses,,"560,158",,"8,292",,-,,-,n/a,n/a
Capital Outlay,,"12,097",,-,,-,,-,n/a,n/a
Totals,$,"572,255",$,"8,292",$,-,$,-,n/a,n/a
Personnel Summary,,,,,,,,,,
n/a,,,,,,,,,,
Goals and Objectives,,,,,,,,,,
* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,* Assist the Poquoson Museum in the completion of the relocation project for the Tom Hunt Store.,
Major Fund Functions,Major Fund Functions,,,,,,,,,
*,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,City is fiscal agent for the Poquoson Museum's grants and the local match is provided by Museum.,
,,,,,,124,,,,
