Name: “Table 1 of 1 on page 45 of 231”,Name: “Table 1 of 1 on page 45 of 231”,Name: “Table 1 of 1 on page 45 of 231”,Name: “Table 1 of 1 on page 45 of 231”
Table: 43,Table: 43,Table: 43,Table: 43
,,,
,GENERAL FUND - SUMMARY,,
General Fund Description,,,
The General Fund accounts for all revenues and expenditures applicable to the general operations of the,The General Fund accounts for all revenues and expenditures applicable to the general operations of the,The General Fund accounts for all revenues and expenditures applicable to the general operations of the,The General Fund accounts for all revenues and expenditures applicable to the general operations of the
City which are not accounted for in other funds.,Principal sources of revenue are property taxes and other,Principal sources of revenue are property taxes and other,Principal sources of revenue are property taxes and other
"local taxes, licenses and permit fees, and intergovernmental revenues.","local taxes, licenses and permit fees, and intergovernmental revenues.",A significant part of the General,A significant part of the General
Fund's revenues is transferred to the Poquoson Public Schools (the component unit) to fund the operation of,Fund's revenues is transferred to the Poquoson Public Schools (the component unit) to fund the operation of,Fund's revenues is transferred to the Poquoson Public Schools (the component unit) to fund the operation of,Fund's revenues is transferred to the Poquoson Public Schools (the component unit) to fund the operation of
the City's school system.,"Primary expenditures are for public safety, public works, health and welfare,","Primary expenditures are for public safety, public works, health and welfare,","Primary expenditures are for public safety, public works, health and welfare,"
"parks, recreation and cultural, and the general administration of the City.","parks, recreation and cultural, and the general administration of the City.",,
.,,,
General Fund Projection of Fund Balance (Budgetary Basis),General Fund Projection of Fund Balance (Budgetary Basis),,
Beginning Fund Balance - 6/30/2008,,$,"3,661,364"
Actual FY 2009 Revenues,$,"23,387,951",
Actual FY 2009 Expenditures,,"(23,194,682)","193,269"
Fund Balance - 6/30/2009,,$,"3,854,633"
Actual FY 2010 Revenues,$,"23,732,307",
Actual FY 2010 Expenditures,,"(22,752,442)","979,865"
Fund Balance - 6/30/2010,,$,"4,834,498"
Estimated FY 2011 Revenues,$,"23,361,317",
Estimated FY 2011 Expenditures,,"(23,360,306)","1,011"
Projected Fund Balance - 6/30/2011,,$,"4,835,509"
Estimated FY 2012 Revenues,$,"22,887,191",
Estimated FY 2012 Expenditures,,"(23,172,218)","(285,027)"
Projected Fund Balance - 6/30/2011,,$,"4,550,482"
,9,,
