Name: “Table 1 of 1 on page 100 of 219”,Name: “Table 1 of 1 on page 100 of 219”,Name: “Table 1 of 1 on page 100 of 219”,Name: “Table 1 of 1 on page 100 of 219”,Name: “Table 1 of 1 on page 100 of 219”
Table: 97,Table: 97,Table: 97,Table: 97,Table: 97
,,,,
,STREET LIGHTS,STREET LIGHTS,,
Major Departmental Functions,,,,
* This department contains funding for electricity for existing streetlights and the installation of new,* This department contains funding for electricity for existing streetlights and the installation of new,* This department contains funding for electricity for existing streetlights and the installation of new,* This department contains funding for electricity for existing streetlights and the installation of new,* This department contains funding for electricity for existing streetlights and the installation of new
streetlights.,Developers pay the cost of installing streetlights in new subdivisions.,Developers pay the cost of installing streetlights in new subdivisions.,The City is,The City is
responsible for paying the cost of installing new streetlights in already developed areas.,responsible for paying the cost of installing new streetlights in already developed areas.,responsible for paying the cost of installing new streetlights in already developed areas.,responsible for paying the cost of installing new streetlights in already developed areas.,responsible for paying the cost of installing new streetlights in already developed areas.
"* This department also provides funding for electricity for the Christmas lights along Wythe Creek Road,","* This department also provides funding for electricity for the Christmas lights along Wythe Creek Road,","* This department also provides funding for electricity for the Christmas lights along Wythe Creek Road,","* This department also provides funding for electricity for the Christmas lights along Wythe Creek Road,","* This department also provides funding for electricity for the Christmas lights along Wythe Creek Road,"
which are illuminated during the holiday season and are maintained by the Public Works Department.,which are illuminated during the holiday season and are maintained by the Public Works Department.,which are illuminated during the holiday season and are maintained by the Public Works Department.,which are illuminated during the holiday season and are maintained by the Public Works Department.,which are illuminated during the holiday season and are maintained by the Public Works Department.
Performance Measures,,,,
,FY 2010,FY 2011,FY 2012,FY 2013
,Actual,Actual,Estimated,Estimated
Number of Street Lights,587,587,587,600
New Lights Installed:,,,,
City Installed,6,2,0,0
Developer Installed,30,2,2,2
Program Accomplishments,,,,
* Provided the necessary electrical services essential for public safety.,* Provided the necessary electrical services essential for public safety.,* Provided the necessary electrical services essential for public safety.,,
* Arranged for Dominion Virginia Power to replace burnt out light bulbs in the City.,* Arranged for Dominion Virginia Power to replace burnt out light bulbs in the City.,* Arranged for Dominion Virginia Power to replace burnt out light bulbs in the City.,,
,63,,,
