Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”,Name: “Table 1 of 1 on page 111 of 219”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,
,,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,SCHOOL CONTRIBUTION,,,,
Expenditures Summary,,,,,,,,,
,,,,,,,,$,%
,,,,,FY 2012,FY 2013,,Change,Change
,,FY 2010,,FY 2011,Revised,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,Budget,Budget,,Budget,Budget
Operation Transfer,$,"8,244,994",$,"8,489,579","$ 8,653,353","$ 8,855,403",$,"202,050",2.3%
Additional Appropriation,,-,,-,"146,000",-,,"(146,000)",-100.0%
Reappropriation,,"63,398",,"89,096","27,022",-,,"(27,022)",-100.0%
Totals,$,"8,308,392",$,"8,578,675","$ 8,826,375","$ 8,855,403",$,"29,028",0.3%
Personnel Summary,,,,,,,,,
N/A,,,,,,,,,
Goals and Objectives,,,,,,,,,
* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,* Provide a curriculum that meets the goals and objectives of the mandated State Standards of Learning,
(SOL).,,,,,,,,,
"* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment","* Increase student achievement, which can be evidenced by scores on the Virginia State Assessment",
program.,,,,,,,,,
"* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.","* Maintain a safe, comfortable environment which allows for diversity among individuals.",,
"* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.","* Encourage professionalism and mutual respect among staff, students, and the community.",
,,Poquoson High School Mascot,Poquoson High School Mascot,Poquoson High School Mascot,Poquoson High School Mascot,,,,
,,,,74,,,,,
