Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”,Name: “Table 1 of 1 on page 121 of 219”
Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118
,,,,,,,,,,,
,,,,PLANNING,PLANNING,PLANNING,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2012,FY 2012,FY 2013,FY 2013,Change,Change,Change
,,FY 2010,,FY 2011,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"295,118",$,"247,555",$,"267,197",$,"290,102",$,"22,905",8.6%
Operating Expenses,,"24,697",,"38,839",,"37,288",,"34,301",,"(2,987)",-8.0%
Capital Outlay,,886,,639,,-,,-,,-,n/a
Totals,$,"320,701",$,"287,033",$,"304,485",$,"324,403",$,"19,918",6.5%
Personnel Summary,,,,,,,,,,,
,,,,FY 2010,,FY 2011,,FY 2012,,FY 2013,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Coordinator of Community Development,Coordinator of Community Development,Coordinator of Community Development,,1,,1,,1,,1,
Principal Planner,,,,1,,1,,1,,1,
Environmental Compliance Officer,Environmental Compliance Officer,Environmental Compliance Officer,,1,,1,,1,,1,
Administrative Secretary,,,,1,,1,,1,,1,
Part Time (FTE),,,,0.45,,0.35,,0,,0,
Totals,,,,4.45,,4.35,,4,,4,
Goals and Objectives,,,,,,,,,,,
"* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.","* Assist the EDA, City Manager and City Council in promoting economic growth.",,,,
* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,* Continue to lead the Development Review Committee in processing development plans for adherence of,
regulations.,,,,,,,,,,,
* Continue development of the GIS Program for the City.,* Continue development of the GIS Program for the City.,* Continue development of the GIS Program for the City.,* Continue development of the GIS Program for the City.,* Continue development of the GIS Program for the City.,,,,,,,
* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,* Continue to seek grants in conjunction with implementation of land use applications.,,,
* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,* Work with the Virginia Department of Transportation in planning for City roadway improvements.,
* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,* Continue to work with Hampton Roads Planning District Commission in monitoring development of,
regional planning practices and issues.,regional planning practices and issues.,regional planning practices and issues.,,,,,,,,,
* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.,* Continue to update City land use ordinances to reflect the City's economic development needs and trends.
* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,* Assist in the implementation of the updated Comprehensive Plan.,,,,,
"* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,","* Strive to provide professional, expeditious, thorough, accurate and courteous service to the public on local,"
State and Federal land use regulations.,State and Federal land use regulations.,State and Federal land use regulations.,,,,,,,,,
* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,* Create informational brochures to educate the public on various development processes within the City.,
* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,* Issue and renew farm animal permits following guidelines as stated in City Code.,,,
* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,* Work with VDOT to make safety improvements at the intersection of Cary's Chapel and Wythe Creek,
Roads.,,,,,,,,,,,
,,,,84,,,,,,,
