Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”,Name: “Table 1 of 1 on page 6 of 75”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,
,Membership Projections,Membership Projections,Membership Projections,Membership Projections,,
I',2004/2005,2004/2005,2005/2006,2005/2006.,2006/2007,
Grade,Projected,Actual,Projected,Actual,Projected,
K,164,147,153,138,150,
1,153,175,152,166,163,i
2,153,159,178,178,167,II
Total,470,481,483,482,480,II
3,157,163,166,168,186,
4,175,185,168,175,169,
5,185,198,191,188,179,
Total,517,546,525,531,534,
6,215,208,216,210,200,
7,215,214,216,220,215,
8,221,225,218,220,225,
Total,651,647,650,650,640,
9,220,219,238,246,220,
10,237,240,223,209,248,
11,217,221,243,231,215,
12,209,213,223,212,233,
Total,883,893,927,898,916,
Division Wide,2521,2567,2585,2561,2570,
____ __ --- ---------·------·--·-·····-··---------------------,____ __ --- ---------·------·--·-·····-··---------------------,____ __ --- ---------·------·--·-·····-··---------------------,--------~!?Q612~_9.Z_ budg~!_~as~_~n en_~~~ent 25!_Q_,--------~!?Q612~_9.Z_ budg~!_~as~_~n en_~~~ent 25!_Q_,--------~!?Q612~_9.Z_ budg~!_~as~_~n en_~~~ent 25!_Q_,--------~!?Q612~_9.Z_ budg~!_~as~_~n en_~~~ent 25!_Q_
