Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”,Name: “Table 1 of 1 on page 52 of 76”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2007 - 2008 BUDGET,2007 - 2008 BUDGET,2007 - 2008 BUDGET,,,,,,
HIGH SCHOOL,-,VOCATIONAL INSTRUCTION,VOCATIONAL INSTRUCTION,1.0.32.3.61100 .....,,,,,,,PAGE 38,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2005/2006,,2006/2007,,2007/2008,,+INCREASE,,
,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),%,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"298,D92",$,"312,380",$,"325,075",$,"12,695",,4.1%
2100,FICA BENEFITS,FICA BENEFITS,$,"22,590",$,"23,897",$,"24,868",$,971,,4.1%
2210,VRS BENEFITS,VRS BENEFITS,$,"37,269",$,"46 ,1 07",$,"53,507",$,"7,400",16.0%,16.0%
2300,HEALTH BENEFITS,HEALTH BENEFITS,$,"14,594",$,"28,667",$,"20,000",$,"(8,667)",-30.2%,-30.2%
2400,GLI BENEFITS,GLI BENEFITS,$,445,$,"1,531",$,"3,251",$,"1,720",112.4%,112.4%
5500,TRAVEL,,$,983,$,"1,700",$,"1,700",$,,,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,"5,740",$,"12,000",$,"12,000",$,,,0.0%
8200,EQUIPM ENT ADDITIONS,EQUIPM ENT ADDITIONS,$,170,$,500,$,500,$,,,0.0%
8201,C & T OTH ER EQUIPMENT COST,C & T OTH ER EQUIPMENT COST,$,"8,413",$,"19,957",$,"12,154",$,"(7,803)",,0.0%
,,TOTAL,$,"388,296",$,"446,739",$,"453,055",$,"6,316",,1.4%
,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,,,,,,,,6/12/2007,7:37 AM
