Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”,Name: “Table 1 of 1 on page 58 of 82”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,
,,,,,2009-2010 BUDGET,2009-2010 BUDGET,2009-2010 BUDGET,,,,,,
DIVISION WIDE,-,ADMINISTRATION,1.0.90.0.62120 .. ...,1.0.90.0.62120 .. ...,,,,,,,,PAGE 49,PAGE 49
CODE,,BUDGET FUNCTION,,,2007/2008,2008/2009,2008/2009,,2009/2010,,+INCREASE,,
,,,,,ACTUAL,APPROPRIATED,APPROPRIATED,,PROJECTED,,(-DECREASE),,%
1112 SUPERINTENDENT SALARY,1112 SUPERINTENDENT SALARY,1112 SUPERINTENDENT SALARY,,$,"79,286",$,"127,000",$,,$,,,0.0%
1112A OTHER COMPENSATION,1112A OTHER COMPENSATION,1112A OTHER COMPENSATION,,$,-,$,-,$,,$,"2,700",,0.0%
1113 ASST. SUPERINTENDENT,1113 ASST. SUPERINTENDENT,1113 ASST. SUPERINTENDENT,,$,"117,876",$,"101 ,218",,,$,,,0.0%
1130 OTHER PROFESSIONAL,1130 OTHER PROFESSIONAL,1130 OTHER PROFESSIONAL,,$,"263,104",$,"283,474",,,$,"(93,843)",,-33.1%
1150 CLERICAL SUPPORT STAFF,1150 CLERICAL SUPPORT STAFF,1150 CLERICAL SUPPORT STAFF,,$,"114,113",$,"135,469",$,"131,781",$,"(3,688)",,-2.7%
1151,SUBSTITUTE SALARIES,SUBSTITUTE SALARIES,,$,"2,779",$,"6,000",$,"3,000",$,"(3,000)",,-50.0%
1520,IN SCHOOL PAYROLL,IN SCHOOL PAYROLL,,$,"39,384",$,,,-,$,,,0.0%
2100,FICA BENEFITS,FICA BENEFITS,,$,"38,208",$,"49,967",,,$,"(8,904)",,-17.8%
2210 VRS BENEFITS,2210 VRS BENEFITS,2210 VRS BENEFITS,,$,"69,049",$,"89,373",,,$,"(13,469)",,-15.1%
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,"23,499",$,"30,912",,,$,"4,677",,15.1%
2400,GROUP LIFE INSURANCE,GROUP LIFE INSURANCE,,$,"4,412",$,"5,307",,,$,(800),,-15.1%
2750,RETIREE HEALTH CARE CREDIT,RETIREE HEALTH CARE CREDIT,RETIREE HEALTH CARE CREDIT,$,"4,194",$,"6,989",,,$,"(1 ,053)",,-15.1 %
2700 WORKERS COMPENSATION,2700 WORKERS COMPENSATION,2700 WORKERS COMPENSATION,,$,-,$,"4,738",,,$,"58,708",,1239.1%
3000,PURCHASE SERVICES,PURCHASE SERVICES,,$,"36,290",$,"40,214",,,$,"(2,011)",,-5.0%
3001 SPECIAL EVENTS,3001 SPECIAL EVENTS,3001 SPECIAL EVENTS,,$,"18,897",$,"12,000",$,"6,000",$,"(6,000)",,-50.0%
3002 ACKNOWLEDGEMENTS,3002 ACKNOWLEDGEMENTS,3002 ACKNOWLEDGEMENTS,,$,"5,871",$,"3,300",$,"3,300",$,,,0.0%
3003,LEGAL SERVICES,LEGAL SERVICES,,$,"19,556",$,"20,000",$,"19,556",$,(444),,-2.2%
3004,MASTERS PROGRAM - VCU,MASTERS PROGRAM - VCU,,$,"16,773",$,"22,015",$,-,$,"(22,015)",,-100.0%
3005,DUES & MEMBERSHIPS,DUES & MEMBERSHIPS,,$,"20,868",$,"12,300",$,"10,300",$,"(2,000)",.,-16.3%
3006,HUMAN RESOURCES,HUMAN RESOURCES,,$,"2,165",$,"4,000",$,"3,000",$,"(1 ,000)",,-25.0%
3007,REGISTRATIONS/SUBSCRIPTIONS,REGISTRATIONS/SUBSCRIPTIONS,REGISTRATIONS/SUBSCRIPTIONS,$,"13,426",$,"14,000",$,"8,300",$,"(5,700)",,-40.7%
3008,PRESENTERS/STAFF DEVELOPMENT,PRESENTERS/STAFF DEVELOPMENT,PRESENTERS/STAFF DEVELOPMENT,$,-,$,"1,000",$,"1,000",$,,,0.0%
3009 TNCC- AA TUITION ASSISTANCE,3009 TNCC- AA TUITION ASSISTANCE,3009 TNCC- AA TUITION ASSISTANCE,3009 TNCC- AA TUITION ASSISTANCE,$,-,$,"3,500",$,-,$,"(3,500)",,-100.0%
4000,INTERNAL SERVICES,INTERNAL SERVICES,,$,-,$,300,$,300,$,,,0.0%
4010,DISTRICT STAFF DEVELOPMENT,DISTRICT STAFF DEVELOPMENT,DISTRICT STAFF DEVELOPMENT,$,"10,718",$,"6,500",$,"5,611",$,(889),,-13.7%
5400,LEASES & RENTALS,LEASES & RENTALS,,$,"39,709",$,"38,250",$,"38,250",$,,,0.0%
5500 SUPT & SB PROFESIONAL DEVELOPME~,5500 SUPT & SB PROFESIONAL DEVELOPME~,5500 SUPT & SB PROFESIONAL DEVELOPME~,5500 SUPT & SB PROFESIONAL DEVELOPME~,$,"3,762",$,"5,200",$,"4,784",$,(41 6),,-8.0%
5501,INSTRUCTIONAL PROFESSIONAL DEV,INSTRUCTIONAL PROFESSIONAL DEV,INSTRUCTIONAL PROFESSIONAL DEV,$,"2,569",$,"3,000",$,"2,760",$,(240),,-8.0%
5502,FINANCE PROFESSIONAL DEVELOPMEN,FINANCE PROFESSIONAL DEVELOPMEN,FINANCE PROFESSIONAL DEVELOPMEN,$,"2,227",$,"2,500",$,"2,300",$,(200),,-8.0%
5503,STAFF MILEAGE,STAFF MILEAGE,,$,"4,126",$,"3,500",$,"3,220",$,(280),,-8.0%
6000 MATERIALS I SUPPLIES,6000 MATERIALS I SUPPLIES,6000 MATERIALS I SUPPLIES,,$,"8,993",$,"10,347",$,"9,830",$,(517),,-5.0%
6001,SCHOOL CENSUS,SCHOOL CENSUS,,$,"1,837",$,-,$,-,$,,,0.0%
8200,EQUIPMENT ADDITIONS,EQUIPMENT ADDITIONS,,$,-,$,"1,800",$,"1,710",$,(90),,-5.0%
9002,EOY OTHER USE OF FUNDS,EOY OTHER USE OF FUNDS,,$,-,$,-,$,-,$,-,,0.0%
,,,TOTAL,$,"963,691",$,"1,044,172",$,"940,1 98",$,"(103,974)",,- 10.0%
