Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”,Name: “Table 1 of 1 on page 9 of 29”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,
,City of Portsmouth,City of Portsmouth,,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,General Government,General Government,,,,
,City Attorney,City Attorney,,,,
Business Unit Mission Statement,,,,,,
"To provide the highest quality legal advice and representation to the City Council and the City Manager, the School Board and","To provide the highest quality legal advice and representation to the City Council and the City Manager, the School Board and","To provide the highest quality legal advice and representation to the City Council and the City Manager, the School Board and","To provide the highest quality legal advice and representation to the City Council and the City Manager, the School Board and","To provide the highest quality legal advice and representation to the City Council and the City Manager, the School Board and",,
"the Superintendent of Schools, and all of their departments, boards and commissions, and agencies. The Department works","the Superintendent of Schools, and all of their departments, boards and commissions, and agencies. The Department works","the Superintendent of Schools, and all of their departments, boards and commissions, and agencies. The Department works","the Superintendent of Schools, and all of their departments, boards and commissions, and agencies. The Department works","the Superintendent of Schools, and all of their departments, boards and commissions, and agencies. The Department works",,
"to facilitate achievement of City Council and School Board goals through the development and use of efficient, effective, and","to facilitate achievement of City Council and School Board goals through the development and use of efficient, effective, and","to facilitate achievement of City Council and School Board goals through the development and use of efficient, effective, and","to facilitate achievement of City Council and School Board goals through the development and use of efficient, effective, and","to facilitate achievement of City Council and School Board goals through the development and use of efficient, effective, and",,
,creative legal strategies.,,,,,
Description of Services Provided,,,,,,
"The Law Department advises the City Council and the School Board on all legal matters, drafts Council ordinances and","The Law Department advises the City Council and the School Board on all legal matters, drafts Council ordinances and","The Law Department advises the City Council and the School Board on all legal matters, drafts Council ordinances and","The Law Department advises the City Council and the School Board on all legal matters, drafts Council ordinances and","The Law Department advises the City Council and the School Board on all legal matters, drafts Council ordinances and",,
"resolutions, serves as the legal advisor to City and School Board staff and to City Boards and Commissions. The Law","resolutions, serves as the legal advisor to City and School Board staff and to City Boards and Commissions. The Law","resolutions, serves as the legal advisor to City and School Board staff and to City Boards and Commissions. The Law","resolutions, serves as the legal advisor to City and School Board staff and to City Boards and Commissions. The Law","resolutions, serves as the legal advisor to City and School Board staff and to City Boards and Commissions. The Law",,
"Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and","Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and","Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and","Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and","Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and","Department also represents the City and the School Board in civil litigation, prosecution of City Code violations, collect City and",
"School Board debts, review Freedom of Information issues, review contracts, and prepare legal documents necessary to the","School Board debts, review Freedom of Information issues, review contracts, and prepare legal documents necessary to the","School Board debts, review Freedom of Information issues, review contracts, and prepare legal documents necessary to the","School Board debts, review Freedom of Information issues, review contracts, and prepare legal documents necessary to the","School Board debts, review Freedom of Information issues, review contracts, and prepare legal documents necessary to the",,
,conduct of public business.,,,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
,Salaries,"826,127","840,936",-,"874,215","874,215"
,Allowances,"10,283","24,944",-,"24,944","24,944"
,Benefits,"213,074","234,688",-,"276,254","276,254"
,Other Operating Expenses,"289,564","203,115",-,"203,115","203,115"
,Internal Service Charges,"29,531","33,515",-,"38,901","27,408"
,Net Budget,"1,368,579","1,337,198",-,"1,417,429","1,405,936"
,Total Budget,"1,368,579","1,337,198",-,"1,417,429","1,405,936"
Total Permanent Positions,Total Permanent Positions,11,11,11,12,12
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"1,368,579","1,337,198",-,"1,417,429","1,405,936"
,Total Funding,"1,368,579","1,337,198",-,"1,417,429","1,405,936"
,Major Budget Variances,,,,,
The trend most impacting the Law Department is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the Law Department is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the Law Department is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the Law Department is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the Law Department is the difficulty in providing sufficient legal services on a day-to-day basis in,,
"light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement",,
"and the defense needs generated by general liability claims, particularly employment law and claims against police officers,","and the defense needs generated by general liability claims, particularly employment law and claims against police officers,","and the defense needs generated by general liability claims, particularly employment law and claims against police officers,","and the defense needs generated by general liability claims, particularly employment law and claims against police officers,","and the defense needs generated by general liability claims, particularly employment law and claims against police officers,",,
will continue to require the retention of outside legal counsel.,will continue to require the retention of outside legal counsel.,,,,,
,Fiscal Year 2012,9,,,General Government,General Government
