Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Public Works/General Services,Public Works/General Services,Public Works/General Services,,,
Parking Authority Fund,Parking Authority Fund,Parking Authority Fund,,,
Business Unit Mission Statement,,,,,
"The Parking Authority will provide safe, efficient and attractive parking at reasonable rates for long-term, short-term, and special","The Parking Authority will provide safe, efficient and attractive parking at reasonable rates for long-term, short-term, and special","The Parking Authority will provide safe, efficient and attractive parking at reasonable rates for long-term, short-term, and special","The Parking Authority will provide safe, efficient and attractive parking at reasonable rates for long-term, short-term, and special","The Parking Authority will provide safe, efficient and attractive parking at reasonable rates for long-term, short-term, and special",
event parking in the Downtown Portsmouth Business District.,event parking in the Downtown Portsmouth Business District.,,,,
Description of Services Provided,,,,,
"The Portsmouth Parking Authority is responsible for the operation and maintenance of six parking garages, eight surface lots,","The Portsmouth Parking Authority is responsible for the operation and maintenance of six parking garages, eight surface lots,","The Portsmouth Parking Authority is responsible for the operation and maintenance of six parking garages, eight surface lots,","The Portsmouth Parking Authority is responsible for the operation and maintenance of six parking garages, eight surface lots,","The Portsmouth Parking Authority is responsible for the operation and maintenance of six parking garages, eight surface lots,",
and approximately 490 parking meters. The following services are provided:,and approximately 490 parking meters. The following services are provided:,,,,
* Daily garage ticket sales,,,,,
* Supplementary parking enforcement in the Downtown Portsmouth area.,* Supplementary parking enforcement in the Downtown Portsmouth area.,,,,
"* Special event parking, including concert events held at the Harbor Center Pavilion.","* Special event parking, including concert events held at the Harbor Center Pavilion.","* Special event parking, including concert events held at the Harbor Center Pavilion.",,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"283,945","363,294","363,294","358,959"
Allowances,,"2,160","4,318","4,318","2,160"
Benefits,,"132,281","94,319","94,319","97,828"
Other Operating Expenses,,"343,007","397,112","397,112","393,926"
Internal Service Charges,,"59,349","54,322","54,322","55,883"
Debt Service,,"254,583","773,151","773,151","577,270"
Capital Outlay,,"464,515",-,-,-
,Net Budget,"1,539,839","1,686,516","1,686,516","1,486,026"
,Total Budget,"1,539,839","1,686,516","1,686,516","1,486,026"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
750 Portsmouth Parking Authority,,"1,539,839","1,686,516","1,686,516","1,486,026"
,Total Funding,"1,539,839","1,686,516","1,686,516","1,486,026"
Strategic Goals,,,,,
* Implementation of the Downtown Parking Master Plan.,,,,,
* Evaluate the existing parking decks and surface lots.,,,,,
* Provide support for certain City sponsored events.,,,,,
Outcomes and Accomplishments,,,,,
* Installation of pay stations and signage in the new Judicial Facility parking lot.,* Installation of pay stations and signage in the new Judicial Facility parking lot.,,,,
"* Structural assessment of county street, City Hall and Harbor Street garages.","* Structural assessment of county street, City Hall and Harbor Street garages.",,,,
* Completing 70% of the recommendation of the Downtown Parking Master Plan.,* Completing 70% of the recommendation of the Downtown Parking Master Plan.,,,,
Fiscal Year 2014,9 - 9,,,Public Works/General Services,Public Works/General Services
