Name: “Table 1 of 1 on page 37 of 78”,Name: “Table 1 of 1 on page 37 of 78”,Name: “Table 1 of 1 on page 37 of 78”,Name: “Table 1 of 1 on page 37 of 78”,Name: “Table 1 of 1 on page 37 of 78”,Name: “Table 1 of 1 on page 37 of 78”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Social Services Fund,Social Services Fund,
0603 Social Services Fund,0603 Social Services Fund,,,,
410-30-502-5030-000000-000 Joint Administration,410-30-502-5030-000000-000 Joint Administration,410-30-502-5030-000000-000 Joint Administration,,,
501000,Sal-Full-time,"892,492","1,072,925","1,072,925","1,448,855"
510099,Sal-Allow for Salary Savings,0,"-51,954","-51,954","-57,533"
511100,Bene-FICA,"64,918","79,152","79,152","88,019"
511115,Bene-Health Insurance,"92,420","135,160","135,160","478,469"
511120,Bene-Dental Insurance,754,780,780,712
511125,Bene-VRS Life Insurance,"2,251","89,987","89,987","12,490"
511140,Bene-Retirement VRS,"93,881","98,063","98,063","84,070"
511145,Bene-Retirement PSRS,"969,693","983,640","983,640","1,103,840"
511166,Bene-Allowance for Vacancy,0,"-4,108","-4,108","-9,279"
,Sav,,,,
521002,Contractual-Auditing,0,"8,200","8,200","8,200"
521214,Contractual-Trash Remov Other,"8,942",0,"8,000","8,000"
521706,Contractual-Janitorial,"87,833",0,"64,000","83,270"
521905,Contractual-Other,"34,781","561,048","49,260","160,048"
521907,Contractual-Performance Bonds,0,300,300,300
521912,Contractual-Software Services,0,0,0,"1,650"
521914,Contractual-Temp Work,"46,220",0,"26,403","52,474"
521918,Contractual-Security,"278,076",0,"280,000","280,000"
522115,Maint-Office Equipment,"5,774","70,710","70,710","70,710"
522130,Maint-Security System,"1,873","13,000","13,000","13,000"
522999,Maint-Other,"29,676",0,"25,000","25,000"
523120,Rentals-Computers,"27,054","42,492","42,492","42,492"
523145,Rentals-Land and Buildings,"1,186,590","1,164,869","1,164,869","1,164,869"
523999,Rentals-Other,"3,600",0,"4,200","4,000"
524100,Repairs-Buildings and Grounds,"2,482","113,467","113,467","113,467"
524110,Repairs-Office Equipment,0,"10,000","10,000","10,000"
531001,Supp-Postage,"67,441","70,000","97,107","70,000"
531914,Supp-Office and Printing,"50,795","182,500","155,393","177,500"
533010,Noncap-Equipment,"2,376","450,492","355,492","400,492"
533020,Noncap-Furniture,0,"5,000","5,000","5,000"
533070,Noncap-Computer Software,0,"212,000","212,000","212,000"
535100,Books and Publications,"1,108","1,000","1,000","1,000"
536110,Dues-Memberships,"1,950","2,000","2,000","2,000"
541010,Util-Electricity,"238,474",0,"240,000","240,000"
541020,Util-Water and Sewer,"12,232",0,"11,785","11,785"
541050,Util-Stormwater Fees,"243,159","238,000","340,000","238,000"
541999,Util-Other,0,"249,600",0,0
542010,Tele-Telephone,"31,055","38,400","38,400","38,400"
542020,Tele-Telephone Cellular,"29,140","34,800","34,800","34,800"
553000,Indirect Cost Allocation,"243,901","476,630","476,630","476,630"
554010,Advertising,0,400,400,400
555100,Training,"2,650","3,000","3,000","3,000"
555210,Travel,603,"20,000","20,000","20,000"
555228,Purchase Card,0,0,0,0
610101,Computer Service Charges,"274,390","295,476","295,476","257,159"
610102,Telecommunications Charges,"88,287","33,423","33,423","75,919"
620101,Garage Equip Rental Charges,"3,935","5,135","5,135","5,135"
620103,Garage Contractual Charges,"10,000","2,406","9,626","10,000"
630101,Risk Management Charges,"267,582","268,879","268,879","269,544"
850101,Cap-Equipment-Other,0,0,"50,000",0
,410-30-502-5030-000000-000 Joint,"5,398,385","6,976,872","6,939,092","7,735,887"
410-30-502-5031-000000-000 Employment Services,410-30-502-5031-000000-000 Employment Services,410-30-502-5031-000000-000 Employment Services,,,
501000,Sal-Full-time,"692,860","812,818","812,818","790,752"
510099,Sal-Allow for Salary Savings,0,"-38,997","-38,997","-39,541"
511100,Bene-FICA,"51,286","59,660","59,660","60,495"
GovMax V5,,,,18-37,
