Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”,Name: “Table 1 of 1 on page 32 of 108”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,Drainage and Street Improvements,,,
,Appropriated,FY 2012,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2013,FY 2014,FY 2015,FY 2016,Total,Total
Project Title,,,,,,,,
ADA Compliance-Curb Cuts,"266,146","27,040","28,122","29,247","30,120","25,000","139,529","405,675"
Alexander's Corner Resignalization,"891,500",-,-,-,-,-,-,"891,500"
Bridge Repairs,"2,250,985","108,160","112,486","116,985","121,664","125,000","584,295","2,835,280"
Churchland Bridge,"9,100,000","1,470,871","2,930,129",-,-,"6,000,000","10,401,000","19,501,000"
Churchland Elementary Safe Routes,"396,270",-,-,-,-,-,-,"396,270"
To School Project,,,,,,,,
Dinwiddle Str Pump Station,-,-,-,-,"3,000,000",-,"3,000,000","3,000,000"
Drainage Facilities Repair and Lake,"19,420,968","2,917,451","2,917,451","2,917,451","2,917,451","2,917,451","14,587,255","34,008,223"
Management,,,,,,,,
Dredging of Lakes/Ponds,"800,000","200,000","200,000","200,000","200,000","200,000","1,000,000","1,800,000"
Ebony Heights Improvements,"2,001,212",-,-,-,-,"900,000","900,000","2,901,212"
Elizabeth River Sediment Cleanup,"74,250",-,-,-,-,-,-,"74,250"
Highland Biltmore Improvements,"2,857,000",-,"200,000","900,000",-,-,"1,100,000","3,957,000"
Hope 6 Project - Jeffry Wilson,"2,100,000",-,-,-,-,-,-,"2,100,000"
Hope Vi Infrastructure,"900,000",-,-,-,-,-,-,"900,000"
Hunters Point Soundwall,-,-,-,-,-,"2,877,470","2,877,470","2,877,470"
McLean Street/Cavalier Boulevard,"3,800,000",-,-,-,-,-,-,"3,800,000"
Midtown Corridor,"2,700,000",-,-,-,-,-,-,"2,700,000"
Pinner's Point Repayment,"231,000","77,000","77,000","77,000",-,-,"231,000","462,000"
Signal Replacement High & Court St,"300,000",-,-,-,-,-,-,"300,000"
Simonsdale Improvements,"2,293,084",-,"150,000","200,000","900,000",-,"1,250,000","3,543,084"
Street Improvements South,"1,868,356",-,-,-,-,"200,000","200,000","2,068,356"
Portsmouth,,,,,,,,
Traffic Inventory,-,"141,500","141,500",-,-,-,"283,000","283,000"
Traffic Signal Improvements,"2,304,000","108,160","112,486","116,985","120,000","120,000","577,631","2,881,631"
Turnpike Road - ML King Hwy to,"465,900",-,-,-,-,-,-,"465,900"
Portsmouth Boulevard,,,,,,,,
Update Traffic Signals @ 10,"3,185,600",-,-,-,-,-,-,"3,185,600"
Intersection(HSIP),,,,,,,,
Update Traffic Signals 8 Intersection,"3,244,800",-,-,-,-,-,-,"3,244,800"
Victory blvd/Paradise Cr Bridge,-,-,-,-,"500,000","1,000,000","1,500,000","1,500,000"
Replacement,,,,,,,,
VPDES Permit Compliance,"800,000","200,000","200,000","200,000","200,000","200,000","1,000,000","1,800,000"
Total Project Cost,"62,251,071","5,250,182","7,069,174","4,757,668","7,989,235","14,564,921","39,631,180","101,882,251"
Fiscal Year 2012,,,32,,,,Capital Improvements,Capital Improvements
