Name: “Table 1 of 1 on page 2 of 10”,Name: “Table 1 of 1 on page 2 of 10”,Name: “Table 1 of 1 on page 2 of 10”,Name: “Table 1 of 1 on page 2 of 10”
Table: 2,Table: 2,Table: 2,Table: 2
,,,
SALE OF WATER,"360,000","390,883","30,883"
WATER TAP FEES,"38,500","38,500",-
SEWER CHARGES,"320,000","320,000",-
CONNECTION FEES,"70,000","70,000",-
OFF-SITE IMPROVEMENT,,,-
IMPACT FEES,"23,000","20,000","(3,000)"
INTEREST,"50,300","58,300","8,000"
OTHER REVENUE,"13,800","7,000","(6,800)"
FROM RESERVE,"(14,968)","249,491","264,459"
TOTAL,"860,632","1,154,174","293,542"
,,EXPENDITURES,
,Budget,Budget,
,FY 2000-2001,FY 2001-2002,
OPERATING EXPENSES,"555,629","648,539","92,910"
DEBT SERVICE,"225,003","183,735","(41,268)"
CAPITAL OUTLAY,"80,000","321,900","241,900"
TOTAL,"860,632","1,154,174","293,542"
